side,p,ci_low,ci_high
1,0.04506,0.03838,0.05173
2,0.05423,0.04714,0.06174
3,0.05882,0.05131,0.06675
4,0.06258,0.05423,0.07050
5,0.04047,0.03419,0.04756
6,0.04422,0.03755,0.05131
7,0.03838,0.03212,0.04547
8,0.05298,0.04589,0.06049
9,0.05841,0.05006,0.06594
10,0.05841,0.05006,0.06675
11,0.06466,0.05674,0.07301
12,0.05298,0.04506,0.06049
13,0.04506,0.03796,0.05215
14,0.04756,0.04047,0.05423
15,0.04339,0.03671,0.05048
16,0.03671,0.03045,0.04297
17,0.05423,0.04673,0.06216
18,0.04714,0.04005,0.05382
19,0.05006,0.04255,0.05757
20,0.04464,0.03713,0.05131
