side,p,ci_low,ci_high
1,0.04688,0.03125,0.06250
2,0.06641,0.04883,0.08594
3,0.05273,0.03711,0.06846
4,0.04688,0.03320,0.06445
5,0.02930,0.01758,0.04102
6,0.09375,0.07422,0.11523
7,0.05664,0.04297,0.07422
8,0.03906,0.02539,0.05273
9,0.04492,0.03125,0.06055
10,0.03711,0.02344,0.05078
11,0.03711,0.02344,0.05078
12,0.05078,0.03516,0.06836
13,0.04102,0.02734,0.05664
14,0.05664,0.04102,0.07422
15,0.04883,0.03320,0.06445
16,0.03711,0.02344,0.05078
17,0.08398,0.06445,0.10361
18,0.03516,0.02148,0.04883
19,0.06055,0.04297,0.08008
20,0.03516,0.02148,0.04883
