side,p,ci_low,ci_high
1,0.04759,0.04410,0.05169
2,0.05120,0.04735,0.05507
3,0.05880,0.05469,0.06325
4,0.05120,0.04723,0.05518
5,0.04205,0.03819,0.04554
6,0.06325,0.05892,0.06771
7,0.05434,0.05036,0.05819
8,0.04602,0.04217,0.04988
9,0.04892,0.04518,0.05301
10,0.04277,0.03916,0.04651
11,0.04795,0.04410,0.05193
12,0.05398,0.05000,0.05807
13,0.03771,0.03434,0.04109
14,0.04988,0.04590,0.05398
15,0.04675,0.04289,0.05060
16,0.04578,0.04240,0.04964
17,0.06398,0.05976,0.06807
18,0.05663,0.05253,0.06049
19,0.05036,0.04651,0.05422
20,0.04084,0.03735,0.04434
