side,p,ci_low,ci_high
1,0.05009,0.04406,0.05581
2,0.05037,0.04436,0.05638
3,0.04923,0.04293,0.05552
4,0.05724,0.05094,0.06354
5,0.05610,0.05009,0.06268
6,0.05037,0.04408,0.05695
7,0.05524,0.04923,0.06183
8,0.04293,0.03749,0.04894
9,0.04865,0.04236,0.05467
10,0.04694,0.04121,0.05323
11,0.05238,0.04579,0.05867
12,0.04665,0.04035,0.05266
13,0.04064,0.03549,0.04608
14,0.05094,0.04465,0.05695
15,0.05552,0.04894,0.06211
16,0.05123,0.04522,0.05724
17,0.05581,0.04951,0.06211
18,0.04722,0.04121,0.05323
19,0.04493,0.03892,0.05094
20,0.04751,0.04121,0.05352
