side,p,ci_low,ci_high
1,0.05931,0.05198,0.06664
2,0.06398,0.05665,0.07131
3,0.05631,0.04932,0.06331
4,0.05565,0.04832,0.06231
5,0.03865,0.03299,0.04434
6,0.04998,0.04365,0.05665
7,0.05132,0.04465,0.05798
8,0.05865,0.05132,0.06598
9,0.04265,0.03632,0.04865
10,0.04165,0.03565,0.04798
11,0.03732,0.03199,0.04299
12,0.04798,0.04199,0.05500
13,0.04365,0.03765,0.04998
14,0.05498,0.04832,0.06200
15,0.04965,0.04265,0.05631
16,0.04165,0.03565,0.04765
17,0.05165,0.04532,0.05865
18,0.06598,0.05898,0.07364
19,0.04598,0.03965,0.05232
20,0.04299,0.03665,0.04932
