side,p,ci_low,ci_high
1,0.05731,0.05032,0.06431
2,0.05965,0.05298,0.06731
3,0.03532,0.02999,0.04099
4,0.05265,0.04598,0.05998
5,0.04399,0.03799,0.04998
6,0.05698,0.05097,0.06398
7,0.06698,0.05931,0.07464
8,0.05498,0.04832,0.06198
9,0.04598,0.03932,0.05198
10,0.03499,0.02966,0.04065
11,0.03632,0.03097,0.04232
12,0.04832,0.04232,0.05498
13,0.04798,0.04132,0.05498
14,0.05831,0.05132,0.06531
15,0.05065,0.04430,0.05700
16,0.03965,0.03432,0.04565
17,0.03299,0.02732,0.03800
18,0.05665,0.04965,0.06431
19,0.05698,0.05030,0.06365
20,0.06331,0.05631,0.07033
