side,p,ci_low,ci_high
1,0.04465,0.03832,0.05065
2,0.04199,0.03599,0.04832
3,0.06964,0.06231,0.07731
4,0.05998,0.05298,0.06731
5,0.05232,0.04532,0.05965
6,0.04998,0.04364,0.05665
7,0.04199,0.03565,0.04798
8,0.03799,0.03232,0.04365
9,0.05198,0.04565,0.05865
10,0.05798,0.05065,0.06531
11,0.05332,0.04665,0.06065
12,0.05731,0.05032,0.06465
13,0.04132,0.03532,0.04732
14,0.04665,0.04032,0.05265
15,0.04665,0.04065,0.05267
16,0.05265,0.04632,0.05965
17,0.06131,0.05398,0.06799
18,0.05531,0.04798,0.06231
19,0.03632,0.03099,0.04232
20,0.04065,0.03432,0.04698
