side,p,ci_low,ci_high
1,0.04333,0.03733,0.04967
2,0.05500,0.04767,0.06133
3,0.06000,0.05300,0.06733
4,0.05300,0.04667,0.05933
5,0.05767,0.05100,0.06435
6,0.04533,0.03900,0.05200
7,0.05033,0.04400,0.05700
8,0.04533,0.03933,0.05135
9,0.05167,0.04500,0.05833
10,0.05167,0.04498,0.05867
11,0.05733,0.05067,0.06400
12,0.04333,0.03700,0.04967
13,0.04667,0.04067,0.05300
14,0.03567,0.03033,0.04133
15,0.04800,0.04200,0.05402
16,0.05800,0.05100,0.06533
17,0.04133,0.03598,0.04700
18,0.05167,0.04467,0.05800
19,0.05500,0.04832,0.06233
20,0.04967,0.04333,0.05667
