side,p,ci_low,ci_high
1,0.04865,0.04230,0.05500
2,0.05831,0.05198,0.06564
3,0.04765,0.04132,0.05432
4,0.05132,0.04499,0.05798
5,0.05465,0.04765,0.06098
6,0.05032,0.04432,0.05698
7,0.05065,0.04432,0.05765
8,0.05098,0.04432,0.05765
9,0.04698,0.04064,0.05300
10,0.05198,0.04532,0.05865
11,0.04898,0.04265,0.05531
12,0.04765,0.04099,0.05398
13,0.05332,0.04665,0.06031
14,0.04399,0.03799,0.05032
15,0.04665,0.04099,0.05265
16,0.04832,0.04197,0.05465
17,0.04732,0.04099,0.05365
18,0.05565,0.04865,0.06231
19,0.05065,0.04432,0.05698
20,0.04598,0.03965,0.05198
