side,p,ci_low,ci_high
1,0.03965,0.03399,0.04565
2,0.04299,0.03665,0.04865
3,0.05598,0.04965,0.06298
4,0.05998,0.05298,0.06666
5,0.05598,0.04932,0.06298
6,0.05765,0.05098,0.06433
7,0.03799,0.03231,0.04399
8,0.03965,0.03399,0.04532
9,0.04499,0.03865,0.05100
10,0.05665,0.04965,0.06398
11,0.05465,0.04798,0.06165
12,0.05332,0.04698,0.05998
13,0.03899,0.03266,0.04499
14,0.04698,0.04099,0.05332
15,0.05265,0.04598,0.05965
16,0.04932,0.04265,0.05565
17,0.05798,0.05065,0.06498
18,0.06498,0.05798,0.07298
19,0.04265,0.03699,0.04932
20,0.04698,0.04099,0.05365
