side,p,ci_low,ci_high
1,0.04299,0.03665,0.04898
2,0.04698,0.04065,0.05332
3,0.05831,0.05132,0.06531
4,0.05032,0.04365,0.05698
5,0.04898,0.04265,0.05531
6,0.05631,0.04997,0.06298
7,0.03599,0.03032,0.04165
8,0.04998,0.04365,0.05631
9,0.05298,0.04663,0.06031
10,0.04998,0.04365,0.05598
11,0.05931,0.05263,0.06631
12,0.06531,0.05831,0.07231
13,0.03266,0.02732,0.03799
14,0.04765,0.04132,0.05432
15,0.05132,0.04499,0.05765
16,0.04732,0.04132,0.05298
17,0.05498,0.04832,0.06198
18,0.06465,0.05763,0.07199
19,0.03865,0.03299,0.04465
20,0.04532,0.03932,0.05132
