side,p,ci_low,ci_high
1,0.07498,0.06764,0.08264
2,0.06998,0.06298,0.07766
3,0.04598,0.03999,0.05232
4,0.03899,0.03366,0.04467
5,0.04199,0.03632,0.04832
6,0.04232,0.03632,0.04832
7,0.06931,0.06131,0.07697
8,0.07797,0.06964,0.08597
9,0.03699,0.03132,0.04265
10,0.02999,0.02499,0.03532
11,0.03632,0.03032,0.04165
12,0.05098,0.04432,0.05800
13,0.04998,0.04332,0.05631
14,0.05865,0.05165,0.06564
15,0.03366,0.02831,0.03899
16,0.03366,0.02832,0.03965
17,0.02366,0.01899,0.02799
18,0.04132,0.03599,0.04698
19,0.06964,0.06198,0.07731
20,0.07364,0.06596,0.08131
