side,p,ci_low,ci_high
1,0.07697,0.06898,0.08497
2,0.06131,0.05465,0.06864
3,0.05098,0.04465,0.05765
4,0.03932,0.03366,0.04499
5,0.03965,0.03366,0.04532
6,0.04232,0.03664,0.04800
7,0.06931,0.06198,0.07697
8,0.06731,0.05965,0.07466
9,0.04299,0.03699,0.04898
10,0.01766,0.01400,0.02199
11,0.04832,0.04199,0.05465
12,0.04665,0.04065,0.05298
13,0.05365,0.04698,0.06065
14,0.05665,0.05032,0.06331
15,0.04499,0.03865,0.05132
16,0.04565,0.03999,0.05167
17,0.02066,0.01633,0.02499
18,0.04532,0.03899,0.05165
19,0.06831,0.06131,0.07631
20,0.06198,0.05465,0.06964
