side,p,ci_low,ci_high
1,0.04998,0.04365,0.05631
2,0.03899,0.03299,0.04465
3,0.04132,0.03565,0.04700
4,0.05198,0.04499,0.05865
5,0.05298,0.04632,0.05931
6,0.05731,0.05032,0.06465
7,0.03632,0.03099,0.04199
8,0.05498,0.04798,0.06231
9,0.05498,0.04832,0.06165
10,0.05298,0.04665,0.06031
11,0.06065,0.05365,0.06831
12,0.04499,0.03865,0.05098
13,0.04432,0.03832,0.05065
14,0.04998,0.04332,0.05631
15,0.05065,0.04399,0.05700
16,0.05298,0.04665,0.05931
17,0.04598,0.03997,0.05232
18,0.06298,0.05598,0.07031
19,0.03999,0.03432,0.04565
20,0.05565,0.04898,0.06265
