side,p,ci_low,ci_high
1,0.04865,0.04232,0.05498
2,0.05398,0.04763,0.06098
3,0.04665,0.04032,0.05365
4,0.05931,0.05232,0.06664
5,0.05531,0.04865,0.06265
6,0.04865,0.04232,0.05531
7,0.04032,0.03466,0.04598
8,0.04598,0.03997,0.05232
9,0.04165,0.03532,0.04765
10,0.05498,0.04798,0.06198
11,0.05631,0.04932,0.06298
12,0.04632,0.03999,0.05265
13,0.04798,0.04165,0.05398
14,0.05198,0.04499,0.05865
15,0.04199,0.03599,0.04832
16,0.06131,0.05430,0.06866
17,0.05598,0.04932,0.06331
18,0.05365,0.04730,0.06065
19,0.04132,0.03532,0.04733
20,0.04765,0.04165,0.05433
