side,p,ci_low,ci_high
1,0.04898,0.04265,0.05565
2,0.04499,0.03899,0.05132
3,0.05665,0.04965,0.06331
4,0.04798,0.04164,0.05432
5,0.05398,0.04732,0.06098
6,0.04465,0.03865,0.05065
7,0.04865,0.04232,0.05498
8,0.06398,0.05698,0.07131
9,0.04465,0.03832,0.05065
10,0.05298,0.04665,0.05931
11,0.05332,0.04665,0.06031
12,0.05798,0.05098,0.06465
13,0.04265,0.03697,0.04865
14,0.06231,0.05498,0.06964
15,0.04698,0.04065,0.05365
16,0.04165,0.03565,0.04732
17,0.03599,0.03032,0.04199
18,0.04865,0.04232,0.05531
19,0.04998,0.04332,0.05665
20,0.05298,0.04663,0.05998
