side,p,ci_low,ci_high
1,0.05565,0.04898,0.06231
2,0.04932,0.04299,0.05598
3,0.04099,0.03532,0.04698
4,0.04465,0.03865,0.05065
5,0.04998,0.04332,0.05665
6,0.04732,0.04099,0.05365
7,0.05965,0.05232,0.06731
8,0.03732,0.03199,0.04332
9,0.05065,0.04399,0.05765
10,0.04832,0.04199,0.05533
11,0.05365,0.04665,0.06065
12,0.04798,0.04165,0.05432
13,0.04132,0.03532,0.04765
14,0.05098,0.04464,0.05865
15,0.06065,0.05398,0.06864
16,0.05765,0.05032,0.06498
17,0.05165,0.04499,0.05766
18,0.05332,0.04632,0.05998
19,0.04499,0.03899,0.05132
20,0.05398,0.04732,0.06065
