X,p(X),5%,95%
1,0.04759,0.04361,0.05145
2,0.05120,0.04759,0.05530
3,0.05880,0.05458,0.06301
4,0.05120,0.04711,0.05494
5,0.04205,0.03819,0.04554
6,0.06325,0.05879,0.06783
7,0.05434,0.05023,0.05867
8,0.04602,0.04229,0.05000
9,0.04892,0.04493,0.05313
10,0.04277,0.03916,0.04639
11,0.04795,0.04445,0.05169
12,0.05398,0.04988,0.05843
13,0.03771,0.03422,0.04120
14,0.04988,0.04590,0.05386
15,0.04675,0.04301,0.05072
16,0.04578,0.04228,0.04976
17,0.06398,0.05951,0.06819
18,0.05663,0.05252,0.06096
19,0.05036,0.04639,0.05434
20,0.04084,0.03723,0.04434
